x,y,z,Cmax
-48,-40,1.5,9.03399472590909e-05
-44,-40,1.5,8.764432859090907e-05
-40,-40,1.5,8.487283737272727e-05
-36,-40,1.5,8.245700899999999e-05
-32,-40,1.5,7.987426496363635e-05
-28,-40,1.5,7.771875464090908e-05
-24,-40,1.5,7.533606797727272e-05
-20,-40,1.5,7.33383241090909e-05
-16,-40,1.5,7.137890417272726e-05
-12,-40,1.5,6.935788040909091e-05
-8,-40,1.5,6.765893711818181e-05
-4,-40,1.5,6.593696159545454e-05
0,-40,1.5,6.453137383181816e-05
4,-40,1.5,6.32092688090909e-05
8,-40,1.5,6.195394653181817e-05
12,-40,1.5,6.069423473181818e-05
16,-40,1.5,5.960500424999999e-05
20,-40,1.5,5.90711412090909e-05
24,-40,1.5,5.9170953868181806e-05
32,-40,1.5,5.439942112272727e-05
36,-40,1.5,5.3718257213636366e-05
40,-40,1.5,5.2177753436818176e-05
-60,-36,1.5,0.00010444969307727273
-56,-36,1.5,0.00010091841068181817
-52,-36,1.5,9.810991068636366e-05
-48,-36,1.5,9.504549458636363e-05
-44,-36,1.5,9.213263283181818e-05
-40,-36,1.5,8.926482119545455e-05
-36,-36,1.5,8.631472897272726e-05
-32,-36,1.5,8.383531017272725e-05
-28,-36,1.5,8.142279767727271e-05
-24,-36,1.5,7.895250512272725e-05
-20,-36,1.5,7.669983625909091e-05
-16,-36,1.5,7.461703052272726e-05
-12,-36,1.5,7.254123764090908e-05
-8,-36,1.5,7.069173437727272e-05
-4,-36,1.5,6.886177535454545e-05
0,-36,1.5,6.721502612727272e-05
4,-36,1.5,6.560027604545453e-05
8,-36,1.5,6.406699741363635e-05
12,-36,1.5,6.276835892272727e-05
16,-36,1.5,6.131799029545454e-05
20,-36,1.5,6.0193571009090906e-05
24,-36,1.5,5.96403373090909e-05
36,-36,1.5,5.401082567681818e-05
40,-36,1.5,5.269741126636362e-05
-60,-32,1.5,0.00010943138169545452
-56,-32,1.5,0.00010615246351363636
-52,-32,1.5,0.00010303981989090909
-48,-32,1.5,9.999101969545454e-05
-44,-32,1.5,9.684780301363634e-05
-40,-32,1.5,9.396534800454544e-05
-36,-32,1.5,9.088536042727271e-05
-32,-32,1.5,8.797556119999999e-05
-28,-32,1.5,8.548914545454544e-05
-24,-32,1.5,8.286508054999999e-05
-20,-32,1.5,8.057991948636364e-05
-16,-32,1.5,7.797032894545453e-05
-12,-32,1.5,7.58987850181818e-05
-8,-32,1.5,7.410910816363636e-05
-4,-32,1.5,7.196259886363635e-05
0,-32,1.5,7.025241010454545e-05
4,-32,1.5,6.824543160454545e-05
8,-32,1.5,6.654518853181816e-05
12,-32,1.5,6.478002722727271e-05
16,-32,1.5,6.283782446363635e-05
20,-32,1.5,6.102443840454545e-05
40,-32,1.5,5.4190095521363634e-05
-60,-28,1.5,0.00011347853967727272
-56,-28,1.5,0.0001106112231181818
-52,-28,1.5,0.00010800280436818182
-48,-28,1.5,0.00010460905959090907
-44,-28,1.5,0.00010171060365909091
-40,-28,1.5,9.878159131363636e-05
-36,-28,1.5,9.554983945e-05
-32,-28,1.5,9.255694234545454e-05
-28,-28,1.5,8.966255719545454e-05
-24,-28,1.5,8.681333091363635e-05
-20,-28,1.5,8.448942435454545e-05
-16,-28,1.5,8.185214188636364e-05
-12,-28,1.5,7.965597606363636e-05
-8,-28,1.5,7.738498132272726e-05
-4,-28,1.5,7.52383177590909e-05
0,-28,1.5,7.329135635909089e-05
4,-28,1.5,7.109045758181818e-05
8,-28,1.5,6.916850080454544e-05
12,-28,1.5,6.698957382727272e-05
16,-28,1.5,6.459560391818182e-05
20,-28,1.5,6.25862436e-05
24,-28,1.5,6.051065357727272e-05
28,-28,1.5,5.926262541818182e-05
32,-28,1.5,5.931421602272727e-05
36,-28,1.5,5.940566119999999e-05
40,-28,1.5,5.7545545609090906e-05
-60,-24,1.5,0.00011574552838636363
-56,-24,1.5,0.00011456822047272727
-52,-24,1.5,0.00011242532091363634
-48,-24,1.5,0.0001094702393090909
-44,-24,1.5,0.00010666253201363634
-40,-24,1.5,0.00010343562710454543
-36,-24,1.5,0.00010040721055909089
-32,-24,1.5,9.737897522272725e-05
-28,-24,1.5,9.440873247272726e-05
-24,-24,1.5,9.121894888181818e-05
-20,-24,1.5,8.851365242727273e-05
-16,-24,1.5,8.604551132272726e-05
-12,-24,1.5,8.344808022727273e-05
-8,-24,1.5,8.107735996818182e-05
-4,-24,1.5,7.878128969090908e-05
0,-24,1.5,7.649278981818179e-05
4,-24,1.5,7.437776867727274e-05
8,-24,1.5,7.212437777727272e-05
12,-24,1.5,6.94998771590909e-05
16,-24,1.5,6.681910475454545e-05
20,-24,1.5,6.45415515181818e-05
24,-24,1.5,6.248184719545454e-05
28,-24,1.5,6.129135636818181e-05
32,-24,1.5,6.157340835909091e-05
36,-24,1.5,6.296198746818182e-05
40,-24,1.5,6.324488563181817e-05
-60,-20,1.5,0.0001161510765
-56,-20,1.5,0.00011626744847727271
-52,-20,1.5,0.00011541967591818182
-48,-20,1.5,0.00011342298735909092
-44,-20,1.5,0.00011115326830909091
-40,-20,1.5,0.00010831201687272727
-36,-20,1.5,0.00010546737856818179
-32,-20,1.5,0.00010234452401818181
-28,-20,1.5,9.923769896818181e-05
-24,-20,1.5,9.629150584545453e-05
-20,-20,1.5,9.296828558181817e-05
-16,-20,1.5,9.047450468636362e-05
-12,-20,1.5,8.75784356590909e-05
-8,-20,1.5,8.521548635454545e-05
-4,-20,1.5,8.285575827272726e-05
0,-20,1.5,8.02725737e-05
4,-20,1.5,7.796892085909091e-05
8,-20,1.5,7.544510164090908e-05
12,-20,1.5,7.288866329999999e-05
16,-20,1.5,7.014380077727272e-05
20,-20,1.5,6.755287237272726e-05
24,-20,1.5,6.499326251363635e-05
28,-20,1.5,6.34186422590909e-05
-60,-16,1.5,0.0001143156297454545
-56,-16,1.5,0.00011551662263636363
-52,-16,1.5,0.00011604167619545454
-48,-16,1.5,0.00011565727531363637
-44,-16,1.5,0.00011450435757272726
-40,-16,1.5,0.00011209528593181816
-36,-16,1.5,0.00010991966599090907
-32,-16,1.5,0.00010704028054545456
-28,-16,1.5,0.0001039408278181818
-24,-16,1.5,0.00010112347243636362
-20,-16,1.5,9.809158590909089e-05
-16,-16,1.5,9.493020865454547e-05
-12,-16,1.5,9.19948792e-05
-8,-16,1.5,8.92659927e-05
-4,-16,1.5,8.682810677272727e-05
0,-16,1.5,8.40824036681818e-05
