x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
24,32,-60,1.5,8.141027272727271e-05,8.241772727272727e-06,4.169327272727272e-05,8.175631818181818e-05,0.00012019892727272726,0.00015557181818181819,0.00015967090909090907,0.00013131727272727272
25,36,-60,1.5,7.487627272727272e-05,8.461131818181817e-06,4.080640909090909e-05,8.207331818181817e-05,0.00011982100909090907,0.0001552281818181818,0.00015182181818181818,0.00013111859090909092
26,40,-60,1.5,6.888568181818182e-05,8.138631818181816e-06,4.075118181818182e-05,8.19640909090909e-05,0.00011983060909090911,0.00015013954545454542,0.00014637636363636362,0.0001253734090909091
27,-60,-56,1.5,0.00015225863636363632,6.790595454545453e-05,7.83896818181818e-05,0.00011753186363636362,0.00015003763636363632,0.00021604909090909092,0.00025146863636363635,0.0002209268181818182
28,-56,-56,1.5,0.00014804818181818184,6.139331818181819e-05,7.627163636363636e-05,0.00011558813636363634,0.00014772081818181817,0.0002105490909090909,0.00024477772727272723,0.00021248863636363634
29,-52,-56,1.5,0.0001434663636363636,5.7452954545454545e-05,7.366213636363635e-05,0.00011394086363636363,0.00014696890909090906,0.00020645999999999997,0.0002402872727272727,0.0002040722727272727
30,-48,-56,1.5,0.00013861045454545453,5.3343045454545456e-05,7.112836363636363e-05,0.00011116963636363635,0.0001447461818181818,0.00020245363636363638,0.00023414499999999997,0.00019751681818181818
31,-44,-56,1.5,0.0001353009090909091,4.945454545454546e-05,6.945972727272726e-05,0.00010955699999999998,0.00014396018181818182,0.00019867409090909089,0.0002301431818181818,0.00019096045454545453
32,-40,-56,1.5,0.00013157659090909092,4.5874499999999996e-05,6.639599999999999e-05,0.00010712422727272726,0.0001423674545454545,0.00019514136363636364,0.00022615454545454544,0.0001849522727272727
33,-36,-56,1.5,0.00012925218181818182,4.205686363636363e-05,6.451399999999999e-05,0.00010479963636363634,0.00014087727272727273,0.00019072681818181817,0.00022003272727272725,0.00017870909090909092
34,-32,-56,1.5,0.00012540622727272727,3.9014045454545445e-05,6.281709090909092e-05,0.00010328804545454545,0.0001393524545454545,0.00018732272727272725,0.00021593136363636366,0.00017395045454545453
35,-28,-56,1.5,0.00012246631818181816,3.6013136363636355e-05,6.042704545454545e-05,0.00010182081818181817,0.00013781345454545456,0.00018398227272727272,0.00021031181818181817,0.0001685531818181818
36,-24,-56,1.5,0.00011863513636363636,3.3393954545454544e-05,5.865354545454545e-05,0.00010001736363636363,0.00013622757272727275,0.00017993045454545455,0.0002056859090909091,0.00016422363636363634
37,-20,-56,1.5,0.00011455513636363636,3.1183090909090907e-05,5.5925363636363626e-05,9.787109090909091e-05,0.00013454942727272727,0.0001767763636363636,0.00020137863636363631,0.00015903590909090908
