x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
1052,-16,-60,7,9.595331818181817e-05,2.7590272727272727e-05,4.879395454545454e-05,8.459768181818182e-05,0.00011596783636363636,0.00015045454545454544,0.00016920272727272725,0.00013528645454545453
1053,-12,-60,7,9.455199999999999e-05,2.5746909090909092e-05,4.701690909090908e-05,8.364799999999998e-05,0.00011529163636363639,0.00014823590909090908,0.00016630909090909087,0.00013217490909090906
1054,-8,-60,7,9.524440909090908e-05,2.301e-05,4.5857999999999994e-05,8.335286363636363e-05,0.00011615899090909089,0.00015155272727272726,0.0001667481818181818,0.00013367013636363635
1055,-4,-60,7,9.261540909090909e-05,2.1611681818181816e-05,4.489654545454545e-05,8.271086363636364e-05,0.00011518366363636358,0.00014903318181818182,0.00016474090909090908,0.00013062209090909088
1056,0,-60,7,8.92064090909091e-05,1.9431363636363636e-05,4.448027272727272e-05,8.165740909090908e-05,0.00011362254545454547,0.00014558272727272723,0.00016062681818181817,0.0001254625909090909
1057,4,-60,7,8.774109090909091e-05,1.792663636363636e-05,4.3592545454545455e-05,8.059677272727271e-05,0.00011162345454545452,0.0001423263636363636,0.0001557940909090909,0.00012328322727272727
1058,8,-60,7,8.632109090909091e-05,1.6871636363636365e-05,4.258468181818181e-05,7.73335e-05,0.0001103293909090909,0.0001424059090909091,0.00015880363636363632,0.00012127290909090908
1059,12,-60,7,8.086636363636364e-05,1.4352363636363636e-05,4.146231818181818e-05,7.655818181818182e-05,0.00010588977272727273,0.00013834999999999997,0.00015269181818181816,0.00011318772727272726
1060,16,-60,7,7.786018181818181e-05,1.2587190909090907e-05,4.037945454545454e-05,7.528190909090909e-05,0.0001051770818181818,0.00013765636363636364,0.00015001636363636364,0.00010878768181818182
1061,20,-60,7,7.630513636363635e-05,1.0901354545454545e-05,3.9743318181818175e-05,7.35740909090909e-05,0.00010568127272727271,0.00013686454545454543,0.00014791227272727272,0.00010465004545454545
1062,24,-60,7,7.593854545454545e-05,9.08534090909091e-06,3.867531818181818e-05,7.333777272727272e-05,0.0001053585818181818,0.00013699409090909092,0.00014421818181818181,0.0001019163636363636
1063,28,-60,7,7.369213636363635e-05,7.295590909090909e-06,3.7647409090909084e-05,7.348281818181817e-05,0.00010563163636363635,0.00013609404545454544,0.00014138454545454545,0.00010281513636363634
1064,32,-60,7,6.990677272727272e-05,5.904549999999999e-06,3.7294363636363634e-05,7.27245e-05,0.00010515780000000001,0.00013482836363636362,0.00013686,0.00010542613636363636
1065,36,-60,7,6.548436363636364e-05,4.678981818181818e-06,3.649663636363636e-05,7.308481818181817e-05,0.00010525049999999999,0.00013380572727272725,0.00013090213636363635,0.00010596331818181818
1066,40,-60,7,6.0955909090909087e-05,3.6681090909090906e-06,3.5754954545454544e-05,7.359204545454545e-05,0.00010475222727272727,0.0001310981818181818,0.0001268461818181818,0.00010414368181818181
1067,-60,-56,7,0.0001382009090909091,7.268468181818181e-05,7.680186363636364e-05,0.00011369013636363636,0.0001464395454545454,0.00019810954545454543,0.0002340704545454545,0.00020735636363636363
1068,-56,-56,7,0.00013384686363636361,6.524263636363636e-05,7.48451818181818e-05,0.00011100122727272728,0.00014249809090909087,0.00019183999999999995,0.0002251972727272727,0.0001977122727272727
1069,-52,-56,7,0.0001291960909090909,6.00655909090909e-05,7.183936363636363e-05,0.00010956981818181818,0.00014067763636363634,0.00018825181818181818,0.00022004045454545454,0.00018895863636363635
1070,-48,-56,7,0.00012368977272727273,5.559054545454546e-05,6.862113636363636e-05,0.00010543840909090907,0.0001372159090909091,0.00018259272727272726,0.00021314409090909085,0.00018110499999999998
1071,-44,-56,7,0.0001187245909090909,5.120754545454545e-05,6.705836363636362e-05,0.00010328481818181818,0.00013559959090909086,0.0001795940909090909,0.00020865863636363634,0.00017409999999999998
1072,-40,-56,7,0.00011525672727272727,4.7428818181818175e-05,6.4203e-05,0.00010126713636363634,0.00013250746363636365,0.00017470318181818178,0.00020428681818181817,0.0001678386363636363
1073,-36,-56,7,0.00011244595454545453,4.376063636363636e-05,6.154731818181817e-05,9.788681818181819e-05,0.00013102971818181817,0.0001701881818181818,0.0001977372727272727,0.0001621840909090909
