x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
-48,-56,12,5.608183806818181e-05,2.6745409090909093e-05,3.9280482954545445e-05,5.748661931818182e-05,5.105171590909091e-05,5.797272727272727e-05,7.060624999999998e-05,5.9728181818181816e-05
-44,-56,12,5.374580113636363e-05,2.4591954545454542e-05,3.838860795454545e-05,5.6295085227272724e-05,5.0350888636363636e-05,5.711818181818181e-05,6.903923295454544e-05,5.731690909090908e-05
-40,-56,12,5.209941477272727e-05,2.2736159090909094e-05,3.6765397727272725e-05,5.519894886363636e-05,4.909320340909091e-05,5.569599999999999e-05,6.750323863636363e-05,5.521581818181818e-05
-36,-56,12,5.083363636363636e-05,2.0926204545454548e-05,3.526321022727272e-05,5.338096590909091e-05,4.8467832954545455e-05,5.4421581818181815e-05,6.525556818181818e-05,5.336192727272728e-05
-32,-56,12,4.927620170454544e-05,1.937056818181818e-05,3.456073863636363e-05,5.2481732954545454e-05,4.736124034090908e-05,5.3822636363636374e-05,6.377663352272727e-05,5.168869090909091e-05
-28,-56,12,4.8312664772727264e-05,1.7946931818181817e-05,3.322045454545454e-05,5.166082386363637e-05,4.6804847727272726e-05,5.2731363636363636e-05,6.18798153409091e-05,5.0142199999999996e-05
-24,-56,12,4.725227556818182e-05,1.6559227272727268e-05,3.197105113636363e-05,5.0910397727272726e-05,4.585107784090909e-05,5.175096363636364e-05,6.048416193181817e-05,4.869103636363636e-05
-20,-56,12,4.6385130681818174e-05,1.5358136363636363e-05,3.0804801136363634e-05,4.956821022727273e-05,4.5389304545454544e-05,5.133021818181817e-05,5.917289772727273e-05,4.732812727272726e-05
-16,-56,12,4.615851988636363e-05,1.4168613636363635e-05,3.0291107954545455e-05,4.9005227272727265e-05,4.462918806818182e-05,5.072689090909091e-05,5.753367897727272e-05,4.606034545454545e-05
-12,-56,12,4.5423613636363634e-05,1.3389636363636362e-05,2.9371221590909085e-05,4.852852272727272e-05,4.4313018749999994e-05,5.0117054545454546e-05,5.662072443181818e-05,4.4889e-05
-8,-56,12,4.690743749999999e-05,1.1921068181818181e-05,2.892883522727272e-05,4.898980113636363e-05,4.5627451704545454e-05,5.2450799999999996e-05,5.8466576704545446e-05,4.5955181818181824e-05
-4,-56,12,4.5795835227272725e-05,1.0906090909090907e-05,2.8556363636363638e-05,4.85459375e-05,4.532946647727273e-05,5.183512727272728e-05,5.777576704545454e-05,4.481361818181817e-05
0,-56,12,4.4863849431818186e-05,9.86315909090909e-06,2.7698977272727266e-05,4.8345880681818174e-05,4.458252272727272e-05,5.144694545454545e-05,5.6990781250000004e-05,4.312798181818182e-05
4,-56,12,4.378423295454545e-05,8.808409090909088e-06,2.6839488636363636e-05,4.718772727272727e-05,4.402722784090908e-05,5.0381236363636364e-05,5.563944602272727e-05,4.179305454545454e-05
8,-56,12,4.233761079545454e-05,7.88665909090909e-06,2.649542613636363e-05,4.6605880681818174e-05,4.309241761363636e-05,4.953158181818182e-05,5.519192471590909e-05,4.053183636363636e-05
12,-56,12,3.914759659090908e-05,6.972886363636363e-06,2.5163920454545455e-05,4.473821022727273e-05,4.1071895454545454e-05,4.715534545454545e-05,5.167363352272727e-05,3.695965454545455e-05
16,-56,12,3.802489772727273e-05,6.313774999999999e-06,2.4372329545454547e-05,4.432196022727273e-05,4.056868295454545e-05,4.671938181818182e-05,5.1106065340909083e-05,3.532010909090909e-05
20,-56,12,3.743506534090909e-05,5.657493181818182e-06,2.4083664772727273e-05,4.3357244318181814e-05,4.0510992613636356e-05,4.6566199999999995e-05,5.028300284090909e-05,3.375494545454546e-05
24,-56,12,3.704727272727272e-05,5.023609090909091e-06,2.3425795454545454e-05,4.3190624999999994e-05,4.0659400568181806e-05,4.650249090909091e-05,4.875642613636362e-05,3.265114545454545e-05
28,-56,12,3.624415056818181e-05,4.369222727272727e-06,2.2741676136363635e-05,4.313556818181818e-05,4.0674506249999994e-05,4.5976290909090906e-05,4.715277272727273e-05,3.241730909090909e-05
