x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
16,-40,1.5,5.7823823863636355e-05,1.153681818181818e-05,3.692832386363636e-05,6.69346875e-05,6.280133522727272e-05,7.215436363636363e-05,7.874196022727273e-05,5.897036363636363e-05
20,-40,1.5,5.7040644886363626e-05,1.0942477272727273e-05,3.686397727272727e-05,6.744721590909089e-05,6.269406818181818e-05,7.195036363636362e-05,7.810285511363635e-05,5.8111454545454546e-05
24,-40,1.5,5.694601704545454e-05,1.0904159090909091e-05,3.6875738636363636e-05,6.745207386363636e-05,6.250232386363635e-05,7.257818181818182e-05,7.831281249999998e-05,5.822345454545454e-05
32,-40,1.5,5.324195454545454e-05,9.626363636363636e-06,3.6186619318181817e-05,6.423116477272727e-05,5.672971022727272e-05,6.650636363636365e-05,6.718248579545454e-05,5.629472727272727e-05
36,-40,1.5,4.866813920454544e-05,5.259377272727272e-06,3.5753210227272725e-05,6.457653409090909e-05,5.568646363636364e-05,6.667890909090908e-05,6.764394886363636e-05,6.0134727272727275e-05
40,-40,1.5,4.612510227272728e-05,4.372420454545454e-06,3.488173295454545e-05,6.345110795454545e-05,5.3592250568181815e-05,6.675672727272727e-05,6.594360795454545e-05,5.850199999999999e-05
-60,-36,1.5,0.00010896928977272728,5.1089249999999995e-05,7.052426136363636e-05,0.00010236278409090908,8.999060795454544e-05,0.00010632090909090909,0.00012440852272727271,0.00010794672727272727
-56,-36,1.5,0.00010512741477272727,4.6864363636363626e-05,6.865488636363635e-05,9.990312500000001e-05,8.835702272727274e-05,0.00010385909090909089,0.00012089205965909091,0.00010397454545454544
-52,-36,1.5,0.00010248161931818182,4.3389136363636367e-05,6.660230113636363e-05,9.77528409090909e-05,8.737968749999998e-05,0.00010137363636363638,0.00011909551136363636,0.00010010618181818183
-48,-36,1.5,9.914318181818182e-05,4.024352272727272e-05,6.45631818181818e-05,9.600085227272725e-05,8.555614772727272e-05,9.911890909090909e-05,0.00011626450284090907,9.63550909090909e-05
-44,-36,1.5,9.592772727272726e-05,3.790156818181817e-05,6.20513068181818e-05,9.345738636363635e-05,8.397005113636364e-05,9.687818181818181e-05,0.00011329481534090909,9.304472727272727e-05
-40,-36,1.5,9.285519886363636e-05,3.439238636363636e-05,6.015420454545454e-05,9.173494318181818e-05,8.225664204545456e-05,9.479236363636362e-05,0.00011074301136363636,8.983690909090909e-05
-36,-36,1.5,8.99197159090909e-05,3.1855136363636365e-05,5.8161022727272715e-05,8.878011363636363e-05,8.071767613636362e-05,9.214690909090909e-05,0.00010715249999999999,8.695272727272727e-05
-32,-36,1.5,8.762982954545454e-05,2.9405840909090906e-05,5.613696022727273e-05,8.715880681818181e-05,7.91129659090909e-05,8.994e-05,0.0001050224573863636,8.382763636363636e-05
-28,-36,1.5,8.501650568181817e-05,2.7223272727272725e-05,5.4446732954545446e-05,8.558721590909089e-05,7.755598295454546e-05,8.826436363636364e-05,0.00010217335227272726,8.126963636363636e-05
