x,y,z,Cmoy
0,-44,5,2.7255098216193176e-05
4,-44,5,2.657056957147727e-05
8,-44,5,2.5939219126534084e-05
12,-44,5,2.5398027128863636e-05
16,-44,5,2.485342752613636e-05
20,-44,5,2.4419932778579543e-05
24,-44,5,2.451983381147727e-05
28,-44,5,2.411341892556818e-05
32,-44,5,2.3505354198579544e-05
36,-44,5,2.271891071505682e-05
40,-44,5,2.1944215642329543e-05
-60,-40,5,4.751346624204545e-05
-56,-40,5,4.552451024517044e-05
-52,-40,5,4.3697367012784074e-05
-48,-40,5,4.191127964119318e-05
-44,-40,5,4.029819252585227e-05
-40,-40,5,3.8816457611363634e-05
-36,-40,5,3.7440753586079546e-05
-32,-40,5,3.59877850559659e-05
-28,-40,5,3.5033359170170454e-05
-24,-40,5,3.372435239943182e-05
-20,-40,5,3.272316250738636e-05
-16,-40,5,3.180533030738637e-05
-12,-40,5,3.079930287727272e-05
-8,-40,5,3.0007266423295456e-05
-4,-40,5,2.919123047301136e-05
0,-40,5,2.84868159125e-05
4,-40,5,2.7802600103977266e-05
8,-40,5,2.7168502221590905e-05
12,-40,5,2.6558037250170456e-05
16,-40,5,2.5909565015965908e-05
20,-40,5,2.540014278625e-05
24,-40,5,2.633068901164772e-05
32,-40,5,2.493380993948863e-05
36,-40,5,2.3474487612556817e-05
40,-40,5,2.2809121472159088e-05
-60,-36,5,5.072963099431818e-05
-56,-36,5,4.8466253635511356e-05
-52,-36,5,4.659693289403409e-05
-48,-36,5,4.484319673693181e-05
-44,-36,5,4.2906424305965904e-05
-40,-36,5,4.128639642187499e-05
-36,-36,5,3.9659106272443185e-05
-32,-36,5,3.825621336477272e-05
-28,-36,5,3.710833390852272e-05
-24,-36,5,3.566624794715909e-05
-20,-36,5,3.449666252528409e-05
-16,-36,5,3.3483004369886354e-05
-12,-36,5,3.240830296875e-05
-8,-36,5,3.150470180625e-05
-4,-36,5,3.062588433323863e-05
0,-36,5,2.9845322949715903e-05
4,-36,5,2.9072039473863636e-05
8,-36,5,2.8391498873579545e-05
12,-36,5,2.7753362927556816e-05
16,-36,5,2.7054832818465905e-05
20,-36,5,2.6472124590625e-05
24,-36,5,2.6879299912499994e-05
36,-36,5,2.4481206099261364e-05
40,-36,5,2.3965740705113637e-05
-60,-32,5,5.417465924659091e-05
-56,-32,5,5.200743302386363e-05
-52,-32,5,4.9985032703124995e-05
-48,-32,5,4.785932116363637e-05
-44,-32,5,4.588072073636364e-05
-40,-32,5,4.425996015795455e-05
-36,-32,5,4.242130924971591e-05
-32,-32,5,4.062461485625e-05
-28,-32,5,3.9228887987499996e-05
-24,-32,5,3.7811471797443176e-05
-20,-32,5,3.6560552750284084e-05
-16,-32,5,3.521431358267045e-05
-12,-32,5,3.416156252642045e-05
-8,-32,5,3.3185099828693185e-05
-4,-32,5,3.223454211903409e-05
0,-32,5,3.143131863863636e-05
4,-32,5,3.0476495112499997e-05
8,-32,5,2.9704758044034088e-05
12,-32,5,2.9083276036363637e-05
16,-32,5,2.8222674135795454e-05
20,-32,5,2.7503608918181818e-05
36,-32,5,2.531847618948864e-05
40,-32,5,2.5024034143181812e-05
-60,-28,5,5.727343303323863e-05
-56,-28,5,5.527058536960227e-05
-52,-28,5,5.3309884112499994e-05
-48,-28,5,5.112888481136363e-05
-44,-28,5,4.920983162329545e-05
-40,-28,5,4.718959456676136e-05
-36,-28,5,4.5123276796875e-05
-32,-28,5,4.346312671988636e-05
-28,-28,5,4.179281359744318e-05
-24,-28,5,4.0168042482670457e-05
-20,-28,5,3.885409001988636e-05
-16,-28,5,3.7348903097443184e-05
-12,-28,5,3.628919505852273e-05
-8,-28,5,3.5060530420170446e-05
-4,-28,5,3.393384619715909e-05
