x,y,z,Cmoy
28,-48,1.5,2.5134432254261363e-05
32,-48,1.5,2.44976263525e-05
36,-48,1.5,2.369299761977272e-05
40,-48,1.5,2.2914014034602268e-05
-60,-44,1.5,4.3962006363636354e-05
-56,-44,1.5,4.263624010056818e-05
-52,-44,1.5,4.1197747109374995e-05
-48,-44,1.5,3.9989045400852267e-05
-44,-44,1.5,3.875051170625e-05
-40,-44,1.5,3.762217201079545e-05
-36,-44,1.5,3.644679378011363e-05
-32,-44,1.5,3.544434024886363e-05
-28,-44,1.5,3.439918711193182e-05
-24,-44,1.5,3.3421729641477267e-05
-20,-44,1.5,3.2471022631534086e-05
-16,-44,1.5,3.1586510967045455e-05
-12,-44,1.5,3.0741606173295454e-05
-8,-44,1.5,2.9889127637784085e-05
-4,-44,1.5,2.9204382430397727e-05
0,-44,1.5,2.8578197375284092e-05
4,-44,1.5,2.7941068466477268e-05
8,-44,1.5,2.7405526987499997e-05
12,-44,1.5,2.6999610432670456e-05
16,-44,1.5,2.6620547323295453e-05
20,-44,1.5,2.645290885284091e-05
24,-44,1.5,2.6718078465625e-05
28,-44,1.5,2.5959325123011358e-05
32,-44,1.5,2.491050132869318e-05
36,-44,1.5,2.442308911846591e-05
40,-44,1.5,2.3696347028749996e-05
-60,-40,1.5,4.636486568835227e-05
-56,-40,1.5,4.4918661923579546e-05
-52,-40,1.5,4.3461047885795457e-05
-48,-40,1.5,4.2015879931250006e-05
-44,-40,1.5,4.075067664517046e-05
-40,-40,1.5,3.9456250639204544e-05
-36,-40,1.5,3.8312950541761366e-05
-32,-40,1.5,3.7102497023579545e-05
-28,-40,1.5,3.6091529663920454e-05
-24,-40,1.5,3.498467625198863e-05
-20,-40,1.5,3.404028339488636e-05
-16,-40,1.5,3.312110367698863e-05
-12,-40,1.5,3.216898308920454e-05
-8,-40,1.5,3.136177732784091e-05
-4,-40,1.5,3.052728925823863e-05
0,-40,1.5,2.986256278892045e-05
4,-40,1.5,2.9213444058238635e-05
8,-40,1.5,2.8613403271590907e-05
12,-40,1.5,2.800886046960227e-05
16,-40,1.5,2.7498231135795453e-05
20,-40,1.5,2.7257856749999995e-05
24,-40,1.5,2.7294376015909086e-05
32,-40,1.5,2.517351152357954e-05
36,-40,1.5,2.4697056512897725e-05
40,-40,1.5,2.395574903840909e-05
-60,-36,1.5,4.8702396172159086e-05
-56,-36,1.5,4.704008311960227e-05
-52,-36,1.5,4.5717826505681816e-05
-48,-36,1.5,4.428029389176136e-05
-44,-36,1.5,4.2901253029829546e-05
-40,-36,1.5,4.1547773763068186e-05
-36,-36,1.5,4.0161483448863635e-05
-32,-36,1.5,3.9002232204829546e-05
-28,-36,1.5,3.78703617625e-05
-24,-36,1.5,3.670675081761363e-05
-20,-36,1.5,3.5654655228125e-05
-16,-36,1.5,3.4672427334374995e-05
-12,-36,1.5,3.369017127499999e-05
-8,-36,1.5,3.281637697272727e-05
-4,-36,1.5,3.1936676632386365e-05
0,-36,1.5,3.11564133497159e-05
4,-36,1.5,3.0371588303124997e-05
8,-36,1.5,2.961625215028409e-05
12,-36,1.5,2.8983781609374994e-05
16,-36,1.5,2.8298351121306817e-05
20,-36,1.5,2.7770824546022728e-05
24,-36,1.5,2.7500297533806814e-05
36,-36,1.5,2.4805202266022725e-05
40,-36,1.5,2.4156878269261368e-05
-60,-32,1.5,5.109715793778408e-05
-56,-32,1.5,4.955482428238636e-05
-52,-32,1.5,4.8077479496875e-05
-48,-32,1.5,4.6646149774715905e-05
-44,-32,1.5,4.515709340142044e-05
-40,-32,1.5,4.3809945522727266e-05
-36,-32,1.5,4.236425246136363e-05
-32,-32,1.5,4.098990432698863e-05
-28,-32,1.5,3.9815891862215906e-05
-24,-32,1.5,3.8580001834943174e-05
-20,-32,1.5,3.749962963522727e-05
-16,-32,1.5,3.6275199638636366e-05
-12,-32,1.5,3.530307041505682e-05
-8,-32,1.5,3.443860357642045e-05
-4,-32,1.5,3.342089833693181e-05
0,-32,1.5,3.260676870909091e-05
4,-32,1.5,3.163669771676136e-05
8,-32,1.5,3.079638930653409e-05
12,-32,1.5,2.9943590442897728e-05
16,-32,1.5,2.899916730142045e-05
20,-32,1.5,2.8148013579829544e-05
40,-32,1.5,2.4799359669602272e-05
-60,-28,1.5,5.303349714176136e-05
-56,-28,1.5,5.168952126022728e-05
-52,-28,1.5,5.0454942371875e-05
-48,-28,1.5,4.886611061590909e-05
-44,-28,1.5,4.7510899499999995e-05
-40,-28,1.5,4.610978717840908e-05
-36,-28,1.5,4.459085511505681e-05
-32,-28,1.5,4.317283382869318e-05
-28,-28,1.5,4.182482840681818e-05
-24,-28,1.5,4.047313031931818e-05
-20,-28,1.5,3.9378172284943176e-05
-16,-28,1.5,3.813231176392045e-05
-12,-28,1.5,3.7114410778125e-05
-8,-28,1.5,3.601301658153408e-05
-4,-28,1.5,3.499046806107954e-05
0,-28,1.5,3.4053197096022724e-05
4,-28,1.5,3.2986849446874994e-05
8,-28,1.5,3.2054622825568173e-05
12,-28,1.5,3.099264876647727e-05
16,-28,1.5,2.981514419829545e-05
20,-28,1.5,2.8861606757954542e-05
24,-28,1.5,2.7883966971590907e-05
28,-28,1.5,2.730612527443182e-05
32,-28,1.5,2.7324881698011362e-05
36,-28,1.5,2.7381420376704544e-05
40,-28,1.5,2.632220387528409e-05
-60,-24,1.5,5.409947559801136e-05
-56,-24,1.5,5.3566943837215905e-05
-52,-24,1.5,5.2564932384659084e-05
-48,-24,1.5,5.1189147875e-05
-44,-24,1.5,4.986709971022725e-05
-40,-24,1.5,4.8325463127556815e-05
-36,-24,1.5,4.693172612670454e-05
-32,-24,1.5,4.548855572301136e-05
-28,-24,1.5,4.409815122812499e-05
-24,-24,1.5,4.2584390134943175e-05
-20,-24,1.5,4.131452900056818e-05
-16,-24,1.5,4.012949673039772e-05
-12,-24,1.5,3.8904824593181814e-05
-8,-24,1.5,3.7789566820738634e-05
-4,-24,1.5,3.668945093948863e-05
0,-24,1.5,3.559657685823863e-05
4,-24,1.5,3.4563968230681816e-05
8,-24,1.5,3.347636193920454e-05
12,-24,1.5,3.218397782982954e-05
16,-24,1.5,3.0858682454261365e-05
20,-24,1.5,2.976703145681818e-05
24,-24,1.5,2.878564561448863e-05
28,-24,1.5,2.8231543295738633e-05
32,-24,1.5,2.839592988835227e-05
